Sr No.,Reference No (URN),"Date of
Purchase",Name of the Purchaser,"Bond
Number",Denominations
2,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,11447,"10,00,000"
3,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,11441,"10,00,000"
4,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1113,"1,00,000"
5,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1118,"1,00,000"
6,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1112,"1,00,000"
7,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1115,"1,00,000"
8,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1119,"1,00,000"
9,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1110,"1,00,000"
10,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1111,"1,00,000"
11,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1106,"1,00,000"
12,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1114,"1,00,000"
13,00001201904120000001166,12/Apr/2019,A B C INDIA LIMITED,1117,"1,00,000"
14,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,11556,"10,00,000"
15,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,11555,"10,00,000"
16,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1125,"1,00,000"
17,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1129,"1,00,000"
18,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1124,"1,00,000"
19,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1128,"1,00,000"
20,00001201904120000001178,12/Apr/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1126,"1,00,000"
21,00001201904120000001177,12/Apr/2019,ARIHANT ENTERPRISES,11551,"10,00,000"
22,00001201904120000001177,12/Apr/2019,ARIHANT ENTERPRISES,11554,"10,00,000"
23,00001201904120000001177,12/Apr/2019,ARIHANT ENTERPRISES,11553,"10,00,000"
24,00001201904120000001177,12/Apr/2019,ARIHANT ENTERPRISES,11552,"10,00,000"
25,00300201904120000001173,12/Apr/2019,CHOUDHARY GARMENTS,12904,"10,00,000"
26,00300201904120000001173,12/Apr/2019,CHOUDHARY GARMENTS,12902,"10,00,000"
27,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6297,"1,00,00,000"
28,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6275,"1,00,00,000"
29,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6261,"1,00,00,000"
30,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6278,"1,00,00,000"
31,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6262,"1,00,00,000"
32,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6274,"1,00,00,000"
33,00001201904120000001165,12/Apr/2019,ESSEL MINING AND INDS LTD,6257,"1,00,00,000"
