Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party","Bond
Number",Denominations
2,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,3975,"1,00,00,000"
3,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,3967,"1,00,00,000"
4,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10418,"10,00,000"
5,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,126,"10,00,000"
6,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,116,"10,00,000"
7,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10466,"10,00,000"
8,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,122,"10,00,000"
9,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,158,"10,00,000"
10,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,108,"10,00,000"
11,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10446,"10,00,000"
12,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10434,"10,00,000"
13,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,162,"10,00,000"
14,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,128,"10,00,000"
15,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,113,"10,00,000"
16,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10423,"10,00,000"
17,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,110,"10,00,000"
18,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,131,"10,00,000"
19,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,164,"10,00,000"
20,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,118,"10,00,000"
21,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10449,"10,00,000"
22,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10417,"10,00,000"
23,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10426,"10,00,000"
24,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10420,"10,00,000"
25,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10443,"10,00,000"
26,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10452,"10,00,000"
27,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,160,"10,00,000"
28,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10408,"10,00,000"
29,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,120,"10,00,000"
30,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10464,"10,00,000"
31,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,124,"10,00,000"
32,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10440,"10,00,000"
33,12/Apr/2019,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,*******5199,10469,"10,00,000"
34,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,6646,"1,00,00,000"
35,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,6644,"1,00,00,000"
36,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5470,"1,00,00,000"
37,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5455,"1,00,00,000"
38,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5467,"1,00,00,000"
39,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5460,"1,00,00,000"
40,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5463,"1,00,00,000"
41,12/Apr/2019,BHARAT RASHTRA SAMITHI,*******7477,5451,"1,00,00,000"
